Thursday,Jan-01,New Years Day,"Arunachal pradesh, Manipur, Meghalaya, Miizoram, Nagaland, Sikkim, Tamil Nadu only"
Thursday,Jan-01,New Years Day,Public Sector. Telangana only. Compensated by Sat Feb 14
Saturday,Jan-03,Milad-un-Nabi,Birthday of Prophet Muhammad
Sunday,Jan-04,Id-e-Milad,"Delhi, Tamil Nadu, Telangana"
Monday,Jan-05,Guru Gobind Singh Jayanti,Punjab only. Birthday of the tenth and final Sikh prophet-teacher
Monday,Jan-12,Birthday of Swami Vivekananda,West Bengal only.
Tuesday,Jan-13,Bhogi,Andhra Pradesh Only
Wednesday,Jan-14,Pongal,"Also known as Makar Sankranti, Lohri, Bihu, Hadaga, Poki"
Thursday,Jan-15,Pongal,"Assam, Karnataka, Tamil Nadu, Telangana"
Friday,Jan-16,Thiruvalluvar Day,Tamil Nadu only
Saturday,Jan-17,Uzhavar Tirunal,"Puducherry, Tamil Nadu only"
Wednesday,Jan-21,Sonam Lhochar,Sikkim only. Tamang New Year
Friday,Jan-23,Netaji Subhas Chandra Bose Jayanti,"Assam, Odisha, Tripura, West Bengal. Birthday of a prominent leader in the Indian freedom movement"
Saturday,Jan-24,Vasant Panchami,"Haryana, Odisha,Tripura, West Bengal only"
Saturday,Jan-24,Sir Chhotu Ram Jayanti,Haryana only
Sunday,Jan-25,Statehood Day,Himachal Pradesh only
Monday,Jan-26,Republic Day,Commemorates the establishment of the Constitution of India
Saturday,Jan-31,Me-dam-me-phi,Assam. Ancestor festival
Tuesday,Feb-03,Guru Ravidas Birthday,"Haryana, Himachal Pradesh, Punjab only"
Saturday,Feb-14,Maharshi Dayanand Saraswati Jayanti,Haryana only
Thursday,Feb-19,Chhatrapati Shivaji Maharaj Jayanti,Maharashtra only
Thursday,Feb-19,Losar,Sikkim only. Tibetan New Year
Friday,Feb-27,Public Holiday,Haryana only. Marks the death of a key official
Thursday,Mar-05,Doljatra,"Holi Dahan. Assam, Odisha, Uttar Pradesh, West Bengal only."
