Sunday,January 01,New Years Day,"Arunachal pradesh, Manipur, Meghalaya, Miizoram, Nagaland, Sikkim, Tamil Nadu only"
Tuesday,January 03,Prakash Parv of Guru Gobind Singh,350th Birthday of the tenth Sikh Guru
Wednesday,January 04,Prakash Parv of Guru Gobind Singh,350th Birthday of the tenth Sikh Guru
Thursday,January 05,Guru Gobind Singh Jayanti,350th Birthday of the tenth Sikh Guru
Thursday,January 05,350th Birthday of Guru Gobind Singh,Delhi. Govt. only
Thursday,January 12,Birthday of Swami Vivekananda,West Bengal only.
Friday,January 13,Bhogi,"Andhra Pradesh, Telangana"
Saturday,January 14,Pongal,"Also known as Makar Sankranti, Lohri, Bihu, Hadaga, Poki"
Sunday,January 15,Thiruvalluvar Day,Tamil Nadu only
Monday,January 16,Uzhavar Tirunal,"Puducherry, Tamil Nadu only"
Tuesday,January 17,Public Holiday,Tamil Nadu only. 100th Birth Anniversary of Puratchi Thalaivar M.G.R.
Monday,January 23,Netaji Subhas Chandra Bose Jayanti,"Assam, Odisha, Tripura, West Bengal. Birthday of a prominent leader in the Indian freedom movement"
Wednesday,January 25,Statehood Day,Himachal Pradesh only
Thursday,January 26,Republic Day,Commemorates the establishment of the Constitution of India
Saturday,January 28,Losar,Sikkim only. Tibetan New Year
Tuesday,January 31,Me-dam-me-phi,Assam. Ancestor festival
Wednesday,February 01,Sir Chhotu Ram Jayanti,Haryana only
Wednesday,February 01,Vasant Panchami,"Haryana, Odisha,Tripura, Punjab , West Bengal"
Friday,February 10,Guru Ravidas Birthday,"Haryana, Himachal Pradesh, Punjab only"
Sunday,February 19,Chhatrapati Shivaji Maharaj Jayanti,Maharashtra only
Tuesday,February 21,Maharshi Dayanand Saraswati Jayanti,Haryana only
Friday,February 24,Maha Shivratri,Celebrated on the 13th night/14th day in the Krishna Paksha
Saturday,February 25,Maha Shivratri,Punjab
Sunday,March 05,Panchayati Raj Diwas,Odisha
Sunday,March 12,Doljatra,"Holi Dahan. Andhra Pradesh, Odisha, Punjab, Uttar Pradesh, West Bengal."
Monday,March 13,Holi,
Tuesday,March 21,Nauroz,Spring Festival. Persian New Year.
Thursday,March 23,"Shaheedi Diwas of Bhagat Singh, Rajguru & Sukhdev","Haryana, Punjab only"
Tuesday,March 28,Ugadi,Telugu and Kannada New Year. Maharashtra only
Tuesday,March 28,Cheti Chand,Gujarat only.
Wednesday,March 29,Ugadi,"Telugu and Kannada New Year. Andhra Pradesh, Karnataka, Telangana"
Wednesday,March 29,Telugu New Year,Telugu and Kannada New Year. Tamil Nadu only.
Saturday,April 01,Odisha Day,Odisha only. Utkal Divas
Saturday,April 01,Bank Holiday,Banks only. Annual accounts closing
Tuesday,April 04,Ram Navami,Celebrates the birth of Lord Rama to King Dasharatha of Ayodhya
Wednesday,April 05,Ram Navami,Celebrates the birth of Lord Rama to King Dasharatha of Ayodhya
Wednesday,April 05,Babu Jagjivan Ram Birthday,"Andhra Pradesh, Telangana only"
Wednesday,April 05,Babu Jagjivan Ram Birthday,Telangana only
Sunday,April 09,Mahavir Jayanti,The most important religious holiday in Jainism
Tuesday,April 11,Hazrat Alis Birthday,Uttar Pradesh only.
Thursday,April 13,Vaisakhi,"Haryana, Jammu and Kashmir, Punjab"
Friday,April 14,Dr Ambedkar Jayanti,Birthday of Bhimrao Ramji Ambedekar
Friday,April 14,Good Friday,Friday before Easter Sunday
Friday,April 14,Tamil New Year,Puthandu. Tamil Nadu only
Friday,April 14,Vishu,Kerala Only. First day of Tulu calendar
Friday,April 14,Bohag Bihu,Assamese New Year
Friday,April 14,Biju Festival,Tripura only
Saturday,April 15,Bengali New Year,"Tripura, West Bengal only"
Saturday,April 15,Himachal Day,Himachal Pradesh only. The province of Himachal Pradesh was created on 15 April 1948
Saturday,April 15,Bohag Bihu Holiday,Assam only
Sunday,April 16,Bohag Bihu Holiday,Assam only
Friday,April 21,Garia Puja,Tripura only
Monday,April 24,Shab-I-Miraj,Jammu and Kashmir
Friday,April 28,Parashurama Jayanti,"Haryana, Himachal Pradesh only"
Friday,April 28,Parashurama Jayanti,Gujarat only
Saturday,April 29,Basava Jayanthi,Karnataka only. The most important festival of the Lingayats.
Saturday,April 29,Lord Parshuram Jayanti,Punjab only
Monday,May 01,Maharashtra Day,Maharashtra only. Commemorates the formation of the state of Maharashtra on 1 May 1960
Monday,May 01,May Day,"Assam, Bihar, Goa, Jharkhand, Karnataka, Kerala, Manipur, Punjab, Tamil Nadu, West Bengal only"
